CustomerID;FullName;EmailProper;CountryProper;SignupSource;CustomerSegment;DateFixed
CUST0001;Ivan Fischer;ivan51@yahoo.com;Romania;Google Ads;Returning;16.8.2024
CUST0002;Laura Silva;laura19@outlook.com;Turkey;Direct;Returning;21.9.2024
CUST0003;Mike Johnson;mike483@yahoo.com;Bulgaria;Referral;Returning;30.11.2024
CUST0004;Ivan Petrov;ivan195@yahoo.com;Croatia;Instagram Ad;New;9.9.2023
CUST0005;Yana Nilsson;yana107@gmail.com;Serbia;Email Newsletter;Returning;14.7.2024
CUST0006;Mike Rossi;mike219@outlook.com;Austria;Organic Search;New;28.4.2024
CUST0007;Sarah Ivanov;sarah453@mail.com;Austria;Facebook Ad;New;13.11.2023
CUST0008;Plamen Dimitrov;plamen476@yahoo.com;Turkey;Instagram Ad;VIP;4.7.2024
CUST0009;David Angelov;david998@outlook.com;Bulgaria;Direct;New;13.11.2023
CUST0010;Vanya Kowalski;vanya246@abv.bg;Spain;Email Newsletter;Returning;6.6.2024
CUST0011;Klaus Stoyanov;klaus758@gmail.com;Romania;Instagram Ad;VIP;27.6.2023
CUST0012;Iliyan Fischer;iliyan629@abv.bg;North Macedonia;Facebook Ad;New;1.2.2024
CUST0013;Sarah  Novak;sarah880@abv.bg;Italy;Google Ads;New;27.2.2024
CUST0014;Yana Andersson;yana386@gmail.com;Serbia;N/A;New;1.11.2024
CUST0015;Yana Kowalski;yana891@outlook.com;Turkey;Direct;VIP;19.12.2023
CUST0016;Maria Fischer;maria644@abv.bg;Romania;Referral;New;28.5.2024
CUST0017;Ani Fischer;ani951@gmail.com;Croatia;Facebook Ad;Returning;9.12.2024
CUST0018;Sophie Silva;sophie632@yahoo.com;Croatia;Google Ads;New;27.2.2024
CUST0019;Rado Nilsson;rado536@yahoo.com;Greece;Instagram Ad;Returning;9.5.2024
CUST0020;Carlos  Georgiev;carlos743@gmail.com;Germany;Direct;VIP;5.11.2024
CUST0021;Kalin Dimitrov;kalin412@abv.bg;Poland;Referral;Returning;9.6.2024
CUST0022;Yana Silva;yana794@outlook.com;Spain;Direct;New;8.9.2024
CUST0023;Rado Johnson;rado307@gmail.com;Romania;Instagram Ad;Returning;30.4.2024
CUST0024;Kristina Ivanov;kristina171@outlook.com;Turkey;Google Ads;Returning;13.1.2024
CUST0025;Petar Rossi;petar249@gmail.com;Austria;Email Newsletter;New;19.6.2023
CUST0026;Diego Stoyanov;diego983@yahoo.com;North Macedonia;Email Newsletter;Returning;10.6.2023
CUST0027;Georgi Stoyanov;georgi949@mail.com;Spain;Instagram Ad;VIP;6.10.2024
CUST0028;David Larsen;david399@yahoo.com;Romania;Facebook Ad;New;15.10.2024
CUST0029;Rado Nowak;rado115@yahoo.com;Romania;Direct;Returning;15.4.2024
CUST0030;Elena Fischer;elena643@abv.bg;Austria;Direct;Returning;11.6.2024
CUST0031;Mike Georgiev;mike789@mail.com;Spain;Email Newsletter;New;5.4.2024
CUST0032;Anna Rossi;anna237@abv.bg;Romania;Direct;VIP;14.6.2023
CUST0033;Mike Dubois;mike492@gmail.com;Austria;Organic Search;VIP;12.3.2023
CUST0034;Kristina Kowalski;kristina252@yahoo.com;Croatia;Direct;Returning;20.8.2023
CUST0035;Julien Ivanov;julien628@gmail.com;Croatia;Organic Search;New;29.2.2024
CUST0036;Pierre Rossi;pierre171@abv.bg;Spain;Email Newsletter;Returning;8.11.2024
CUST0037;Iliyan Weber;iliyan114@abv.bg;Bulgaria;Google Ads;Returning;3.9.2023
CUST0038;Yana Kowalski;yana402@outlook.com;Croatia;Referral;Returning;25.3.2024
